reality,predict,mape
363.39,474.7948303222656,0.31
339.26,479.24224853515625,0.41
351.88,478.535400390625,0.36
369.38,478.535400390625,0.3
399.39,479.5112609863281,0.2
465.22,470.42791748046875,0.01
499.85,474.5918273925781,0.05
501.46,511.13812255859375,0.02
546.41,513.4344482421875,0.06
563.06,513.3312377929688,0.09
547.16,513.406982421875,0.06
545.09,513.91015625,0.06
543.09,513.9453735351562,0.05
551.16,513.7655029296875,0.07
543.09,513.304443359375,0.05
545.09,513.7811279296875,0.06
591.01,514.1493530273438,0.13
581.03,512.7632446289062,0.12
595.01,513.040283203125,0.14
555.07,513.3425903320312,0.08
561.15,495.0079345703125,0.12
541.1,481.7919006347656,0.11
485.19,503.22021484375,0.04
451.3,487.9610900878906,0.08
419.3,487.9610900878906,0.16
427.29,486.8802490234375,0.14
405.32,477.72625732421875,0.18
447.25,468.6205139160156,0.05
457.3,468.6205139160156,0.02
501.16,465.9820861816406,0.07
606.99,486.8359680175781,0.2
638.94,475.8846435546875,0.26
652.68,491.2503356933594,0.25
647.83,489.6793212890625,0.24
695.74,498.93603515625,0.28
703.73,513.6248168945312,0.27
657.49,513.2786254882812,0.22
615.88,513.3037109375,0.17
475.37,513.39013671875,0.08
516.43,513.39013671875,0.01
632.95,512.84033203125,0.19
633.04,512.5263671875,0.19
551.83,508.3346252441406,0.08
545.4,500.1430969238281,0.08
608.99,494.9756774902344,0.19
517.14,476.7827453613281,0.08
466.37,470.8275146484375,0.01
413.6,482.00714111328125,0.17
386.5,468.96893310546875,0.21
396.48,466.4652099609375,0.18
376.58,470.8275146484375,0.25
337.78,467.1540222167969,0.38
376.83,468.96893310546875,0.24
440.01,468.96893310546875,0.07
505.19,479.9934387207031,0.05
517.14,512.2521362304688,0.01
525.12,512.6371459960938,0.02
553.08,528.6182861328125,0.04
515.14,528.9165649414062,0.03
538.83,541.8710327148438,0.01
518.63,609.955322265625,0.18
501.88,600.3695678710938,0.2
509.32,585.7920532226562,0.15
527.55,544.80810546875,0.03
529.23,527.6898193359375,0.0
544.67,518.7960205078125,0.05
538.63,512.1658935546875,0.05
526.25,512.0823974609375,0.03
510.37,511.6653137207031,0.0
470.83,500.9284973144531,0.06
439.27,496.49298095703125,0.13
415.31,512.4371948242188,0.23
434.25,511.6653137207031,0.18
397.91,511.6653137207031,0.29
387.93,510.31976318359375,0.32
397.91,500.9284973144531,0.26
426.35,500.72052001953125,0.17
425.01,510.31976318359375,0.2
489.27,511.91845703125,0.05
530.07,507.0496826171875,0.04
537.78,519.1467895507812,0.03
700.83,533.0370483398438,0.24
794.68,553.5782470703125,0.3
552.4,686.0753173828125,0.24
544.41,682.0775146484375,0.25
585.02,636.7476806640625,0.09
547.16,545.29638671875,0.0
535.11,513.669677734375,0.04
557.07,513.02734375,0.08
547.09,512.78125,0.06
579.03,512.7576293945312,0.11
569.05,512.6168212890625,0.1
551.14,512.3534545898438,0.07
487.19,508.7835998535156,0.04
397.41,504.53240966796875,0.27
387.35,512.3534545898438,0.32
375.37,486.3757019042969,0.3
388.39,491.5794677734375,0.27
389.35,501.2107238769531,0.29
369.38,486.3110046386719,0.32
403.55,495.9837951660156,0.23
405.39,491.4859619140625,0.21
487.19,505.51995849609375,0.04
497.17,512.78125,0.03
513.14,513.2037963867188,0.0
527.12,513.46630859375,0.03
557.07,513.4713134765625,0.08
553.08,521.2150268554688,0.06
543.09,538.78564453125,0.01
537.1,545.018798828125,0.01
539.25,522.3292846679688,0.03
555.07,513.0535888671875,0.08
551.08,512.891357421875,0.07
608.99,512.7662353515625,0.16
602.76,512.9655151367188,0.15
535.98,505.05474853515625,0.06
567.05,494.7681884765625,0.13
507.15,499.8528747558594,0.01
461.23,497.6249694824219,0.08
435.27,492.50079345703125,0.13
419.3,480.617919921875,0.15
401.33,473.7540283203125,0.18
407.32,473.7540283203125,0.16
427.35,473.7540283203125,0.11
443.26,477.8432312011719,0.08
451.25,474.3699645996094,0.05
497.17,474.3699645996094,0.05
525.2,516.5715942382812,0.02
549.04,585.2525634765625,0.07
547.27,624.6199340820312,0.14
493.18,644.3242797851562,0.31
463.23,651.1302490234375,0.41
443.33,704.41064453125,0.59
435.88,636.607666015625,0.46
451.64,682.8030395507812,0.51
452.81,712.4057006835938,0.57
467.22,651.1302490234375,0.39
465.28,625.0404052734375,0.34
472.53,558.67919921875,0.18
463.23,509.76708984375,0.1
473.21,488.2010192871094,0.03
