reality,le_predict,mape,accurary
652.91,681.4662032,0.043736814,0.96
742.76,663.5802436,0.106602074,0.89
756.74,681.4662032,0.099471148,0.9
744.9,681.4662032,0.085157467,0.91
728.79,647.2078318,0.111941942,0.89
736.77,646.2055292,0.122920953,0.88
732.78,646.2055292,0.118145243,0.88
772.78,677.8321237,0.122865339,0.88
788.69,677.8321237,0.140559505,0.86
850.58,662.5525858,0.221057883,0.78
838.6,688.5742273,0.178900277,0.82
842.75,748.5808291,0.111740339,0.89
1092.11,781.6357754,0.284288418,0.72
1080.2,796.5040806,0.262632771,0.74
1030.28,845.9617924,0.178901083,0.82
994.61,900.0315801,0.09509096,0.9
960.4,923.9327238,0.037970925,0.96
878.71,863.0391471,0.01783393,0.98
862.56,863.0391471,0.000555494,1
888.52,883.1798812,0.006010128,0.99
918.47,843.6704417,0.081439305,0.92
908.49,764.0939604,0.158940703,0.84
896.6,751.5603544,0.161766279,0.84
864.56,736.3587487,0.148284967,0.85
746.76,685.9114107,0.081483461,0.92
680.87,703.3629094,0.033035542,0.97
666.89,675.5772157,0.01302646,0.99
660.9,685.9114107,0.037844471,0.96
674.88,661.0140824,0.020545753,0.98
732.78,672.2870525,0.082552673,0.92
750.82,658.8151221,0.122539194,0.88
788.83,658.8151221,0.164819895,0.84
826.62,658.8151221,0.203001231,0.8
880.53,683.6296258,0.223615748,0.78
804.66,715.1745593,0.111209008,0.89
1120.13,773.9209897,0.309079312,0.69
1066.22,754.8634778,0.292019023,0.71
916.47,799.2216278,0.127934763,0.87
834.61,835.4185645,0.000968793,1
842.83,903.1023469,0.071511867,0.93
862.56,894.1226518,0.036591833,0.96
899.92,878.0764458,0.024272773,0.98
914.48,896.203713,0.019985442,0.98
894.51,902.2180707,0.008617087,0.99
883.97,840.4078455,0.049280128,0.95
886.77,814.2683996,0.081759194,0.92
872.55,788.642544,0.096163493,0.9
826.62,758.6070572,0.082278366,0.92
836.61,742.111861,0.112953633,0.89
756.74,715.1745593,0.054926977,0.95
724.79,715.1745593,0.01326652,0.99
700.83,715.1745593,0.020467958,0.98
680.87,683.6296258,0.004053088,1
668.89,711.691551,0.063988923,0.94
706.82,680.3002461,0.037519813,0.96
718.93,680.3002461,0.053732288,0.95
762.8,667.4026301,0.1250621,0.87
834.61,697.4299956,0.164364199,0.84
834.61,752.3523138,0.098558232,0.9
868.55,833.4786515,0.040379193,0.96
864.56,891.1482217,0.030753472,0.97
1138.1,940.0657199,0.174004288,0.83
1092.18,948.8674594,0.131216961,0.87
1072.43,992.3475962,0.074673782,0.93
992.35,1051.732722,0.059840502,0.94
930.45,928.2352298,0.002380322,1
968.46,928.2352298,0.041534777,0.96
1004.33,896.203713,0.107660119,0.89
994.34,919.0056343,0.075763185,0.92
926.46,891.3769223,0.037867882,0.96
900.5,816.9862241,0.092741561,0.91
894.66,791.2748357,0.115558049,0.88
828.62,791.2748357,0.045069108,0.95
767.94,788.642544,0.026958544,0.97
732.85,742.111861,0.01263814,0.99
714.16,742.111861,0.039139494,0.96
731.96,694.0334061,0.051815118,0.95
736.77,697.4299956,0.053395231,0.95
736.77,685.9114107,0.069029126,0.93
770.72,701.0230696,0.090430935,0.91
786.76,683.6296258,0.131082381,0.87
