reality,predict,mape
906.49,571.04638671875,0.37
912.48,570.9663696289062,0.37
814.64,570.9663696289062,0.3
680.96,570.9642333984375,0.16
658.9,570.9642333984375,0.13
750.88,571.018798828125,0.24
790.68,570.9856567382812,0.28
758.74,570.9856567382812,0.25
738.77,570.9882202148438,0.23
722.8,571.0046997070312,0.21
710.82,571.0046997070312,0.2
746.76,570.9882202148438,0.24
767.0,570.9882202148438,0.26
774.71,571.0046997070312,0.26
818.64,571.0123901367188,0.3
815.88,571.1106567382812,0.3
662.9,571.0143432617188,0.14
626.96,571.056884765625,0.09
868.55,571.6024169921875,0.34
904.57,571.9603271484375,0.37
880.7,571.9603271484375,0.35
844.59,571.5991821289062,0.32
848.59,571.6054077148438,0.33
878.54,571.2153930664062,0.35
910.48,571.2153930664062,0.37
918.47,571.3212280273438,0.38
904.49,571.148193359375,0.37
902.5,571.148193359375,0.37
882.62,571.148193359375,0.35
830.76,571.148193359375,0.31
792.68,571.31298828125,0.28
716.81,571.31298828125,0.2
485.19,571.0953369140625,0.18
419.3,571.2651977539062,0.36
435.27,571.0953369140625,0.31
724.79,571.5740966796875,0.21
742.76,571.1106567382812,0.23
790.9,571.1106567382812,0.28
832.61,571.1287841796875,0.31
846.59,571.6282348632812,0.32
894.51,572.5939331054688,0.36
910.48,573.1990966796875,0.37
953.93,573.1904296875,0.4
926.63,573.8623046875,0.38
926.46,573.8623046875,0.38
882.53,573.8623046875,0.35
871.45,573.5604248046875,0.34
894.51,573.3709106445312,0.36
922.46,572.8109741210938,0.38
908.49,572.8109741210938,0.37
930.45,573.264892578125,0.38
914.48,573.1881103515625,0.37
906.74,572.6160278320312,0.37
860.57,573.1881103515625,0.33
814.64,573.1881103515625,0.3
800.67,573.8433837890625,0.28
744.76,575.1763305664062,0.23
752.75,575.1763305664062,0.24
736.77,574.4287719726562,0.22
740.77,574.4287719726562,0.22
784.91,573.769287109375,0.27
770.72,573.769287109375,0.26
830.62,574.4287719726562,0.31
874.54,574.4287719726562,0.34
920.47,573.769287109375,0.38
960.4,574.5110473632812,0.4
974.38,575.8453369140625,0.41
958.4,574.4287719726562,0.4
944.69,575.0780029296875,0.39
878.54,575.0780029296875,0.35
892.51,574.4287719726562,0.36
958.4,573.769287109375,0.4
986.36,573.769287109375,0.42
1001.96,573.769287109375,0.43
980.55,573.1111450195312,0.42
958.4,573.1111450195312,0.4
924.0,572.4668579101562,0.38
852.58,572.1665649414062,0.33
810.65,572.4668579101562,0.29
644.93,572.1665649414062,0.11
487.19,573.016845703125,0.18
487.19,572.54150390625,0.18
675.06,571.9581298828125,0.15
690.85,571.9581298828125,0.17
569.05,571.9581298828125,0.01
764.73,571.9581298828125,0.25
818.64,571.9581298828125,0.3
832.61,572.54150390625,0.31
870.55,571.9581298828125,0.34
868.55,571.9581298828125,0.34
896.75,571.9581298828125,0.36
862.56,571.6282348632812,0.34
856.57,573.19287109375,0.33
812.65,572.9874877929688,0.29
806.66,572.8869018554688,0.29
870.55,573.5902099609375,0.34
888.52,573.2192993164062,0.35
908.49,572.9105834960938,0.37
